locations,lat,lng
"Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia",2.6902865,101.9077089
"No. 1, Jalan TPS 1/1, Taman Pelangi Semenyih, 43500 Semenyih, Selangor, Malaysia",2.9306073,101.8568799
"Lot G10 Ground Floor, Aeon Nilai Mall, Pusat Beli Belah Aeon Nilai No 2 Persiaran Pusat Bandar Putra Point, Putra Nilai, Negeri Sembilan, Putra Point, 71800 Nilai, Negeri Sembilan, Malaysia",2.8174386,101.7898025
"2424 US-6, Grand Junction, CO 81505, USA",39.0921385,-108.602583
"KL Sentral, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.13417,101.68611
"201, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1330712,101.6870347
"Level 23, NU Tower, 2, Jalan Tun Sambanthan, Sentral, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1325786,101.6863784
"Jalan Seri Tanjung Pinang 10470 Tanjong Tokong, Penang Malaysia, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang, Malaysia",5.458031399999999,100.3133518
"701 N 1st Ave, Minneapolis, MN 55403, USA",44.9785315,-93.2759978
"57-G-1, Mansion One, Jln Sultan Ahmad Shah, 10050 George Town, Pulau Pinang, Malaysia",5.4274625,100.3203421
